"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000128185.10",3564.28862147797,-1.41415920710412,0.118445157353999,-11.939358591737,7.37900160346939e-33,2.25833888580254e-30,"DGCR6L"
"ENSG00000177917.11",775.66969041066,1.05487461394996,0.0883743245415778,11.9364376409312,7.64269063212564e-33,2.31051586305359e-30,"ARL6IP6"
"ENSG00000171724.3",326.606904550877,4.25292473086001,0.356440927858285,11.9316397149289,8.09628190747076e-33,2.4181545600747e-30,"VAT1L"
"ENSG00000113810.16",2305.78223720521,1.53948036803372,0.129154294772771,11.9196993854693,9.3445097313277e-33,2.75774281237635e-30,"SMC4"
"ENSG00000180879.14",13275.2646818318,-1.14016771453189,0.0957744008912634,-11.9047230149356,1.11834025916795e-32,3.26160647350275e-30,"SSR4"
"ENSG00000135776.5",1006.97597049892,1.32297287956649,0.111171926103106,11.9002424977282,1.18003754188936e-32,3.40152682132991e-30,"ABCB10"
"ENSG00000125652.8",2684.99625436758,-1.31970962554741,0.111114971359841,-11.8769739972626,1.55909696714958e-32,4.39204702450434e-30,"ALKBH7"
"ENSG00000165997.5",1164.64612865822,1.37042616023264,0.115377504127703,11.8777587588983,1.54453163897685e-32,4.39204702450434e-30,"ARL5B"
"ENSG00000100997.20",7027.15074854938,-1.07483238315071,0.0905510526435294,-11.8699048964343,1.69660388215446e-32,4.72570901557404e-30,"ABHD12"
"ENSG00000121988.18",258.587449595394,1.1389195554194,0.096130618345241,11.8476253978635,2.21375196856973e-32,6.09765681120484e-30,"ZRANB3"
"ENSG00000177200.17",2514.59536601201,1.24362935456605,0.105097589214654,11.8330911665921,2.63264726155856e-32,7.17179402352052e-30,"CHD9"
"ENSG00000115464.15",3399.28637211475,1.15231155311755,0.0975330915799217,11.814570157179,3.28223288696218e-32,8.84419057258613e-30,"USP34"
"ENSG00000175938.7",758.503820969437,-1.2142387670174,0.10280397789492,-11.8112041175928,3.41633246236502e-32,9.10654642387408e-30,"ORAI3"
"ENSG00000101203.16",295.549023296232,5.38385241786042,0.456323479066449,11.7983243572624,3.98160924268007e-32,1.05004354389403e-29,"COL20A1"
"ENSG00000100075.10",7459.5032365253,-1.52706124563277,0.129495931215666,-11.792349236746,4.27448728510674e-32,1.11541620839785e-29,"SLC25A1"
"ENSG00000198862.14",1612.43169738589,1.25807627712377,0.106735891176157,11.7868156930215,4.56475648134357e-32,1.17875326221362e-29,"LTN1"
"ENSG00000161677.12",1860.92793279443,-1.33962522740929,0.113813713815326,-11.7703322605127,5.55054685781214e-32,1.41853666603261e-29,"JOSD2"
"ENSG00000134590.14",8435.64169918534,-1.19008900789203,0.101158250116953,-11.7646262812585,5.93887415482173e-32,1.50229275814317e-29,"RTL8C"
"ENSG00000082258.13",1564.27598389226,1.12193880949301,0.0954773479969285,11.7508375864096,6.9922312272108e-32,1.75088295073289e-29,"CCNT2"
"ENSG00000087086.15",241990.573371522,-1.59714356696208,0.136008226286988,-11.7429923951216,7.67228901180446e-32,1.90196044602633e-29,"FTL"
"ENSG00000101638.14",374.372552607673,4.80458410384916,0.409174355986211,11.7421437427791,7.74968056454379e-32,1.90212456628753e-29,"ST8SIA5"
"ENSG00000119041.11",2218.43962096716,0.787887450986414,0.0672002149468969,11.7244781375926,9.54876799217676e-32,2.29973007247706e-29,"GTF3C3"
"ENSG00000144228.9",752.853481535588,1.06892798201946,0.0911710635598966,11.7244215465053,9.55515116842024e-32,2.29973007247706e-29,"SPOPL"
"ENSG00000163104.18",2236.47417920467,1.29586688533647,0.11059241225349,11.717502665248,1.03683546645356e-31,2.47145684744074e-29,"SMARCAD1"
"ENSG00000126254.12",6408.29354517243,-1.02412111102693,0.0874714617884186,-11.7080598641891,1.15901391114743e-31,2.710729466256e-29,"RBM42"
"ENSG00000163811.12",3113.67976589382,0.988331614515645,0.0844146740639602,11.7080546181674,1.1590856128404e-31,2.710729466256e-29,"WDR43"
"ENSG00000137770.14",1559.99363077883,1.09980486307825,0.0939701472582901,11.7037686453261,1.21916186586697e-31,2.82458155652732e-29,"CTDSPL2"
"ENSG00000126247.11",24559.0369952399,-1.10808748380326,0.0948111519780888,-11.6873116788976,1.47997322169227e-31,3.39708668201401e-29,"CAPNS1"
"ENSG00000257704.4",469.054552071521,-1.32055134472658,0.113264008349664,-11.659055369556,2.06318603315118e-31,4.69232860200164e-29,"INAFM1"
"ENSG00000078177.14",636.178666005208,1.46086453750703,0.125328779926942,11.6562575520053,2.13209271257042e-31,4.80496166769279e-29,"N4BP2"
