"","sample","ENSG00000115419_logTPM","group"
"78","TCGA-WE-AAA0-06A-11R-A38C-07",4.96136402731475,"Middle"
"79","TCGA-DA-A3F8-06A-11R-A20F-07",5.16191186142077,"Middle"
"80","TCGA-FS-A1ZQ-06A-11R-A18U-07",3.31132872599558,"Low"
"81","TCGA-EE-A3J3-06A-11R-A20F-07",5.51992554905374,"Middle"
"82","TCGA-EE-A2MH-06A-11R-A18S-07",5.0755069602087,"Middle"
"83","TCGA-FR-A3YO-06A-11R-A239-07",3.46885697303719,"Low"
"84","TCGA-FS-A1ZF-06A-12R-A18S-07",4.82802728598148,"Middle"
"85","TCGA-D3-A3C8-06A-12R-A18S-07",5.46957018941709,"Middle"
"86","TCGA-ER-A2NC-06A-11R-A18T-07",4.47575936682389,"Low"
"87","TCGA-D3-A3MU-06A-11R-A21D-07",3.76975058520813,"Low"
"88","TCGA-ER-A2ND-06A-11R-A18T-07",3.45909057768484,"Low"
"89","TCGA-EE-A2MR-06A-11R-A18S-07",5.9584854364252,"High"
"90","TCGA-ER-A2NG-06A-11R-A18T-07",5.15812290163049,"Middle"
"91","TCGA-ER-A3ES-06A-11R-A20F-07",5.37588394290546,"Middle"
"92","TCGA-RP-A6K9-06A-41R-A352-07",4.04609811587977,"Low"
"93","TCGA-HR-A2OG-06A-21R-A18U-07",4.53771849991068,"Low"
"94","TCGA-FS-A4F4-06A-12R-A266-07",2.40163046658474,"Low"
"95","TCGA-XV-AB01-06A-12R-A40A-07",2.51113908147442,"Low"
"96","TCGA-DA-A1I0-06A-11R-A20F-07",2.64685387894268,"Low"
"97","TCGA-ER-A42K-06A-11R-A24X-07",5.86554522889016,"High"
"98","TCGA-GN-A268-06A-11R-A18T-07",6.31401489061501,"High"
"99","TCGA-D3-A8GR-06A-11R-A37K-07",4.12598165385472,"Low"
"100","TCGA-D3-A5GS-06A-11R-A27Q-07",4.64308269791847,"Low"
"101","TCGA-EE-A2ML-06A-11R-A18S-07",5.56523767579889,"Middle"
"102","TCGA-D3-A8GB-06A-11R-A37K-07",4.00629802390037,"Low"
"103","TCGA-EE-A29M-06A-11R-A18T-07",5.79440026956265,"High"
"104","TCGA-EE-A20C-06A-11R-A18S-07",6.29636379435058,"High"
"105","TCGA-D3-A3CF-06A-11R-A18T-07",5.50629409141706,"Middle"
"106","TCGA-GN-A8LK-06A-11R-A37K-07",3.62780525341447,"Low"
"107","TCGA-EE-A20H-06A-11R-A18S-07",5.83917606792592,"High"
"108","TCGA-DA-A95V-06A-11R-A37K-07",2.25471496797692,"Low"
"109","TCGA-D3-A2JE-06A-11R-A37K-07",6.95196072878113,"High"
"110","TCGA-DA-A1I8-06A-11R-A18T-07",6.50201228760469,"High"
"111","TCGA-FR-A7U9-06A-11R-A352-07",5.39597448117154,"Middle"
"112","TCGA-BF-AAP0-06A-11R-A39D-07",5.11265843575834,"Middle"
"113","TCGA-ER-A19C-06A-11R-A18S-07",5.03858104091308,"Middle"
"114","TCGA-DA-A1I2-06A-21R-A18U-07",5.17833220859262,"Middle"
"115","TCGA-DA-A95Y-06A-11R-A37K-07",4.17292748960384,"Low"
"116","TCGA-QB-AA9O-06A-11R-A39D-07",4.31104529813555,"Low"
"117","TCGA-ER-A3ET-06A-11R-A20F-07",4.86636402209807,"Middle"
"118","TCGA-D3-A3MR-06A-11R-A21D-07",4.14082772620816,"Low"
"119","TCGA-EE-A3AF-06A-11R-A18S-07",4.77476070876617,"Low"
"120","TCGA-WE-A8ZX-06A-11R-A37K-07",5.9321178799396,"High"
"121","TCGA-D3-A3CB-06A-11R-A18S-07",5.26494170982417,"Middle"
"122","TCGA-EE-A3AB-06A-11R-A18S-07",5.4540475455366,"Middle"
"123","TCGA-WE-AA9Y-06A-12R-A38C-07",4.25182511354263,"Low"
"124","TCGA-EE-A2MF-06A-11R-A21D-07",5.53903470297075,"Middle"
"125","TCGA-D3-A51F-06A-11R-A266-07",5.35153646177972,"Middle"
"126","TCGA-D3-A2J7-06A-11R-A18T-07",5.02603868194725,"Middle"
"127","TCGA-FR-A8YD-06A-11R-A37K-07",3.16188768237689,"Low"
"128","TCGA-FS-A1ZJ-06A-12R-A18S-07",5.27264284731373,"Middle"
"129","TCGA-ER-A19D-06A-11R-A18S-07",5.39990592899924,"Middle"
"130","TCGA-FS-A4F8-06A-11R-A266-07",5.49469720927427,"Middle"
"131","TCGA-EE-A2GM-06B-11R-A18S-07",5.69457936787733,"Middle"
"132","TCGA-FW-A3I3-06A-11R-A21D-07",4.87745960856382,"Middle"
"133","TCGA-FS-A4F2-06A-11R-A24X-07",4.81803758913797,"Middle"
"134","TCGA-FS-A1YX-06A-11R-A18T-07",5.02312669294675,"Middle"
"135","TCGA-EE-A29A-06A-12R-A18U-07",5.90371557985876,"High"
"136","TCGA-EE-A183-06A-11R-A18S-07",4.20772109200771,"Low"
"137","TCGA-D3-A2J6-06A-11R-A18T-07",3.26237301902733,"Low"
"138","TCGA-D3-A8GN-06A-11R-A37K-07",3.88980448723789,"Low"
"139","TCGA-D3-A8GD-06A-11R-A37K-07",5.41624525070024,"Middle"
"140","TCGA-D3-A1Q9-06A-11R-A18T-07",5.5901438817445,"Middle"
"141","TCGA-EE-A2M7-06A-11R-A18U-07",5.88689151549692,"High"
"142","TCGA-YD-A9TB-06A-12R-A40A-07",5.89763977412683,"High"
"143","TCGA-EE-A2GS-06A-12R-A18S-07",5.83363141949878,"High"
"144","TCGA-W3-AA1Q-06A-11R-A38C-07",5.22928027905873,"Middle"
"145","TCGA-DA-A1IB-06A-11R-A18S-07",5.3452792687683,"Middle"
"146","TCGA-GN-A4U3-06A-11R-A32P-07",5.37103256626181,"Middle"
"147","TCGA-D9-A1JW-06A-11R-A18S-07",4.15827238884451,"Low"
"148","TCGA-EE-A2GR-06A-11R-A18S-07",5.16912328147676,"Middle"
"149","TCGA-WE-AAA4-06A-12R-A38C-07",2.52902130952987,"Low"
"150","TCGA-EE-A185-06A-11R-A18S-07",5.47473779000905,"Middle"
"151","TCGA-WE-A8K1-06A-21R-A37K-07",4.93394553806247,"Middle"
"152","TCGA-LH-A9QB-06A-11R-A38C-07",5.52605002645361,"Middle"
"153","TCGA-EE-A2M5-06A-12R-A18S-07",5.70344405206512,"Middle"
"154","TCGA-EE-A2GI-06A-11R-A18T-07",4.43542190851619,"Low"
"155","TCGA-GN-A26D-06A-11R-A18T-07",4.85205878164439,"Middle"
"156","TCGA-D3-A3BZ-06A-12R-A18S-07",3.99337546741112,"Low"
"157","TCGA-EE-A3AC-06A-11R-A18S-07",5.64157203898,"Middle"
"158","TCGA-FR-A44A-06A-11R-A24X-07",5.88592084288431,"High"
"159","TCGA-FS-A4F0-06A-11R-A24X-07",6.46263968505618,"High"
"160","TCGA-EE-A180-06A-11R-A21D-07",5.21491744798807,"Middle"
"161","TCGA-FW-A3R5-06A-11R-A239-07",6.05143301035859,"High"
"162","TCGA-GN-A262-06A-11R-A18T-07",4.81012429780139,"Middle"
"163","TCGA-D3-A2JF-06A-11R-A18S-07",4.77499784895625,"Middle"
"164","TCGA-D9-A148-06A-11R-A18S-07",4.73626391309253,"Low"
"165","TCGA-ER-A3EV-06A-11R-A20F-07",2.89762767427955,"Low"
"166","TCGA-GN-A9SD-06A-11R-A40A-07",5.42021962901187,"Middle"
"167","TCGA-FS-A1ZA-06A-11R-A18T-07",5.06120159682643,"Middle"
"168","TCGA-DA-A1HV-06A-21R-A18S-07",4.86243651299131,"Middle"
"169","TCGA-D3-A1Q6-06A-11R-A18T-07",6.30254388326409,"High"
"170","TCGA-D3-A8GQ-06A-11R-A37K-07",5.73837604056903,"Middle"
"171","TCGA-RP-A695-06A-11R-A311-07",4.50720475857159,"Low"
"172","TCGA-D3-A2JA-06A-11R-A18T-07",6.22171857693429,"High"
"173","TCGA-ER-A19Q-06A-11R-A18U-07",5.00966516797296,"Middle"
"174","TCGA-EE-A3J7-06A-11R-A20F-07",5.75331571165539,"Middle"
"175","TCGA-D3-A51G-06A-11R-A266-07",6.58539674668097,"High"
"176","TCGA-W3-AA1R-06A-11R-A39D-07",5.70240820818721,"Middle"
"177","TCGA-ER-A195-06A-11R-A18U-07",5.7086673185996,"Middle"
"178","TCGA-EE-A2MP-06A-11R-A18S-07",5.04548665635946,"Middle"
"179","TCGA-EE-A2A2-06A-11R-A18T-07",6.21886445738671,"High"
"180","TCGA-Z2-A8RT-06A-11R-A37K-07",5.04567885727838,"Middle"
"181","TCGA-GN-A26A-06A-11R-A18T-07",5.27676835506665,"Middle"
"182","TCGA-EE-A2M8-06A-12R-A18S-07",5.44525989692471,"Middle"
"183","TCGA-WE-A8ZY-06A-11R-A37K-07",5.31764776745859,"Middle"
"184","TCGA-FS-A4FB-06A-11R-A266-07",6.14841353439182,"High"
"185","TCGA-FS-A1ZB-06A-12R-A18S-07",4.5254738277589,"Low"
"186","TCGA-GN-A265-06A-21R-A18T-07",4.6854636553203,"Low"
"187","TCGA-DA-A95Z-06A-11R-A37K-07",4.88423646937431,"Middle"
"188","TCGA-FS-A4FD-06A-11R-A266-07",6.70486090080165,"High"
"189","TCGA-EE-A20F-06A-21R-A18S-07",4.2105836837023,"Low"
"190","TCGA-EE-A182-06A-11R-A18T-07",2.55927153760481,"Low"
"191","TCGA-YD-A89C-06A-11R-A37K-07",6.23936557903528,"High"
"192","TCGA-GN-A264-06A-11R-A18U-07",6.18389933454368,"High"
"193","TCGA-WE-A8ZQ-06A-41R-A37K-07",5.68339609547552,"Middle"
"194","TCGA-D3-A3CE-06A-11R-A18S-07",5.285631552153,"Middle"
"195","TCGA-DA-A1I4-06A-11R-A18U-07",4.90232446098095,"Middle"
"196","TCGA-ER-A19M-06A-61R-A239-07",5.632233311165,"Middle"
"197","TCGA-FS-A1Z4-06A-11R-A18T-07",6.13781702994156,"High"
"198","TCGA-EE-A2MJ-06A-11R-A18S-07",4.98758463851185,"Middle"
"199","TCGA-EE-A2A0-06A-11R-A18T-07",5.68886572773732,"Middle"
"200","TCGA-EE-A29N-06A-12R-A18S-07",5.86023034244969,"High"
"201","TCGA-D3-A1Q1-06A-21R-A18T-07",6.46451961209783,"High"
"202","TCGA-EE-A29B-06A-11R-A18U-07",4.57164647544174,"Low"
"203","TCGA-D3-A51E-06A-11R-A266-07",5.60371535170319,"Middle"
"204","TCGA-FW-A5DY-06A-11R-A311-07",5.24207654658127,"Middle"
"205","TCGA-EE-A2GH-06A-11R-A18T-07",3.99155359068609,"Low"
"206","TCGA-EE-A2GL-06A-11R-A18S-07",5.65155116478175,"Middle"
"207","TCGA-FS-A1ZR-06A-21R-A18U-07",5.66270967107081,"Middle"
"208","TCGA-FS-A1ZM-06A-12R-A18S-07",5.59139817408428,"Middle"
"209","TCGA-D3-A5GL-06A-11R-A27Q-07",5.74607623965374,"Middle"
"210","TCGA-ER-A19N-06A-11R-A18S-07",4.84794681210744,"Middle"
"211","TCGA-EE-A29L-06A-12R-A18S-07",5.69950999009326,"Middle"
"212","TCGA-EE-A2GJ-06A-11R-A18U-07",5.66115671455313,"Middle"
"213","TCGA-EE-A2A1-06A-11R-A18T-07",4.94453052330564,"Middle"
"214","TCGA-D9-A6EC-06A-11R-A311-07",4.44298329378368,"Low"
"215","TCGA-D3-A5GN-06A-11R-A27Q-07",5.92517817748331,"High"
"216","TCGA-EE-A3AA-06A-11R-A18S-07",6.57797709902524,"High"
"217","TCGA-GN-A4U9-06A-11R-A32P-07",5.4596873464557,"Middle"
"218","TCGA-D3-A2J8-06A-11R-A18T-07",4.58230308772569,"Low"
"219","TCGA-FS-A4FC-06A-11R-A24X-07",5.44345746803461,"Middle"
"220","TCGA-W3-A828-06A-11R-A352-07",5.17091451112182,"Middle"
"221","TCGA-WE-A8ZO-06A-11R-A37K-07",5.63272189501812,"Middle"
"222","TCGA-RP-A690-06A-11R-A311-07",5.42124686697963,"Middle"
"223","TCGA-EE-A3JD-06A-11R-A20F-07",5.75441454127168,"High"
"224","TCGA-EE-A2MI-06A-11R-A18U-07",4.90149928204379,"Middle"
"225","TCGA-EE-A29H-06A-12R-A18S-07",5.1997940364284,"Middle"
"226","TCGA-FS-A1ZS-06A-12R-A18T-07",5.66970995573551,"Middle"
"227","TCGA-FS-A1ZY-06A-11R-A18S-07",5.53136586372886,"Middle"
"228","TCGA-EE-A3AD-06A-11R-A18S-07",6.05436663014385,"High"
"229","TCGA-ER-A193-06A-12R-A18S-07",5.28281043957256,"Middle"
"230","TCGA-ER-A198-06A-11R-A18T-07",6.09210170199912,"High"
"231","TCGA-EE-A2GN-06A-11R-A18S-07",5.44322869012589,"Middle"
"232","TCGA-FW-A3TU-06A-11R-A239-07",2.31539233132432,"Low"
"233","TCGA-GN-A4U8-06A-11R-A32P-07",5.55107298994035,"Middle"
"234","TCGA-EE-A17Y-06A-11R-A18T-07",5.49520266936069,"Middle"
"235","TCGA-EE-A2MN-06A-11R-A18S-07",4.59574830594279,"Low"
"236","TCGA-ER-A19T-06A-11R-A18U-07",4.24456743937681,"Low"
"237","TCGA-D3-A5GO-06A-12R-A27Q-07",4.43438136389743,"Low"
"238","TCGA-D3-A3MV-06A-11R-A21D-07",5.85053191778629,"High"
"239","TCGA-EE-A29Q-06A-11R-A18T-07",6.13102556416711,"High"
"240","TCGA-EE-A3JB-06A-11R-A21D-07",6.95606013830149,"High"
"241","TCGA-FR-A7UA-06A-32R-A352-07",5.0762298508377,"Middle"
"242","TCGA-WE-A8K6-06A-11R-A37K-07",4.94524248882146,"Middle"
"243","TCGA-D3-A2JD-06A-11R-A18T-07",3.7024580786754,"Low"
"244","TCGA-D3-A8GP-06A-11R-A37K-07",5.56990420355599,"Middle"
"245","TCGA-ER-A42L-06A-11R-A24X-07",5.62812907857184,"Middle"
"246","TCGA-ER-A19F-06A-11R-A18S-07",5.46562517251934,"Middle"
"247","TCGA-EE-A2MU-06A-21R-A18S-07",4.86083371406879,"Middle"
"248","TCGA-EB-A5KH-06A-11R-A27Q-07",3.47881652904942,"Low"
"249","TCGA-D3-A3ML-06A-11R-A21D-07",6.37316792899759,"High"
"250","TCGA-W3-AA21-06A-11R-A38C-07",3.85858779437871,"Low"
"251","TCGA-D3-A8GS-06A-12R-A37K-07",4.72535944065548,"Low"
"252","TCGA-WE-A8ZT-06A-11R-A37K-07",4.96717783189598,"Middle"
"253","TCGA-EB-A44R-06A-41R-A266-07",5.88671596481098,"High"
"254","TCGA-EE-A2GD-06A-11R-A18T-07",5.88422425658956,"High"
"255","TCGA-GN-A8LL-06A-21R-A37K-07",2.24476530756931,"Low"
"256","TCGA-FR-A8YE-06A-11R-A37K-07",6.39597962060029,"High"
"257","TCGA-DA-A3F2-06A-11R-A20F-07",1.85726444450066,"Low"
"258","TCGA-D9-A4Z6-06A-12R-A266-07",5.24497836604682,"Middle"
"259","TCGA-3N-A9WD-06A-11R-A38C-07",4.41932314528325,"Low"
"260","TCGA-EE-A3JE-06A-11R-A20F-07",4.75738067474114,"Low"
"261","TCGA-FS-A1ZC-06A-11R-A18T-07",5.95030509854693,"High"
"262","TCGA-FS-A1YY-06A-11R-A18T-07",4.72841034327994,"Low"
"263","TCGA-D3-A8GI-06A-11R-A37K-07",3.64859198967367,"Low"
"264","TCGA-ER-A2NH-06A-11R-A18S-07",5.64109511642847,"Middle"
"265","TCGA-HR-A2OH-06A-11R-A18U-07",4.94971700925061,"Middle"
"266","TCGA-D3-A3CC-06A-11R-A18S-07",5.46680654856494,"Middle"
"267","TCGA-ER-A2NF-06A-11R-A18T-07",4.93129065871884,"Middle"
"268","TCGA-GN-A4U4-06A-11R-A32P-07",6.80406388750312,"High"
"269","TCGA-DA-A1HY-06A-11R-A18T-07",6.0091567891713,"High"
"270","TCGA-EE-A2MM-06A-11R-A18S-07",5.48355461776573,"Middle"
"271","TCGA-ER-A19O-06A-11R-A18S-07",3.95213783864975,"Low"
"272","TCGA-EE-A20I-06A-11R-A18U-07",5.70540844988977,"Middle"
"273","TCGA-FS-A1Z0-06A-11R-A18T-07",5.75823121116668,"High"
"274","TCGA-FS-A1ZH-06A-11R-A18T-07",5.08474462086847,"Middle"
"275","TCGA-D3-A1Q8-06A-11R-A18T-07",5.62261999758485,"Middle"
"276","TCGA-ER-A19W-06A-41R-A239-07",5.93420273555169,"High"
"277","TCGA-EB-A6L9-06A-11R-A32P-07",2.72027846523333,"Low"
"278","TCGA-D3-A8GJ-06A-11R-A37K-07",4.98246886290788,"Middle"
"279","TCGA-GF-A6C8-06A-12R-A311-07",6.55125760134391,"High"
"280","TCGA-W3-AA1O-06A-11R-A38C-07",6.11952426031222,"High"
"281","TCGA-FS-A1Z7-06A-11R-A18T-07",5.26635179305497,"Middle"
"282","TCGA-D9-A6E9-06A-12R-A311-07",3.94754460251445,"Low"
"283","TCGA-D9-A149-06A-11R-A18S-07",5.2389817019566,"Middle"
"284","TCGA-FW-A3TV-06A-11R-A239-07",5.25905399448194,"Middle"
"285","TCGA-D3-A2JO-06A-11R-A18S-07",6.57381378832443,"High"
"286","TCGA-FS-A4F9-06A-11R-A24X-07",5.14189050912319,"Middle"
"287","TCGA-EE-A2GP-06A-11R-A18S-07",6.57984388621158,"High"
"288","TCGA-EE-A3J8-06A-11R-A20F-07",6.35737781506735,"High"
"289","TCGA-GN-A4U7-06A-21R-A32P-07",4.1326837659342,"Low"
"290","TCGA-D3-A8GL-06A-11R-A37K-07",6.82998778613358,"High"
"291","TCGA-D3-A2JN-06A-11R-A18S-07",5.54645309742802,"Middle"
"292","TCGA-D3-A51R-06A-11R-A266-07",5.35912052235506,"Middle"
"293","TCGA-D3-A1Q5-06A-11R-A18T-07",5.49191080297719,"Middle"
"294","TCGA-FS-A1ZE-06A-11R-A18T-07",5.66841984396107,"Middle"
"295","TCGA-D3-A51J-06A-11R-A266-07",5.24617243287858,"Middle"
"296","TCGA-GN-A266-06A-11R-A18T-07",5.64577369931773,"Middle"
"297","TCGA-W3-A825-06A-11R-A352-07",5.2166372276555,"Middle"
"298","TCGA-DA-A3F3-06A-11R-A20F-07",5.9230992511379,"High"
"299","TCGA-W3-AA1W-06A-11R-A38C-07",5.20581474917999,"Middle"
"300","TCGA-D3-A3C7-06A-11R-A18U-07",5.27199331928929,"Middle"
"301","TCGA-EE-A2MC-06A-12R-A18S-07",5.54226733747334,"Middle"
"302","TCGA-D3-A8GM-06A-11R-A37K-07",5.54018229607242,"Middle"
"303","TCGA-D3-A8GV-06A-11R-A37K-07",5.04362447674704,"Middle"
"304","TCGA-FS-A1ZP-06A-11R-A18T-07",5.58016659393718,"Middle"
"305","TCGA-EB-A5SG-06A-11R-A311-07",4.41947821614739,"Low"
"306","TCGA-ER-A197-06A-32R-A18S-07",4.51634299498619,"Low"
"307","TCGA-EE-A2GE-06A-11R-A18T-07",4.95675830827726,"Middle"
"308","TCGA-EE-A3J4-06A-11R-A20F-07",5.8668585360677,"High"
"309","TCGA-DA-A3F5-06A-11R-A20F-07",5.6757905313881,"Middle"
"310","TCGA-FR-A8YC-06A-11R-A37K-07",4.56249888054401,"Low"
"311","TCGA-D3-A2JC-06A-11R-A18T-07",5.87636959997278,"High"
"312","TCGA-D3-A2JB-06A-11R-A18T-07",4.73626932582073,"Low"
"313","TCGA-EE-A17Z-06A-11R-A18S-07",4.46923479366766,"Low"
"314","TCGA-D3-A1Q7-06A-11R-A18T-07",5.42368909154606,"Middle"
"315","TCGA-DA-A1I7-06A-22R-A18S-07",5.39399615493253,"Middle"
"316","TCGA-DA-A1I5-06A-11R-A18T-07",5.1355800148373,"Middle"
"317","TCGA-ER-A19H-06A-12R-A18S-07",5.59266931459915,"Middle"
"318","TCGA-D3-A51K-06A-11R-A266-07",2.30728279106001,"Low"
"319","TCGA-EE-A2MG-06A-11R-A18T-07",5.69119634266883,"Middle"
"320","TCGA-OD-A75X-06A-12R-A32P-07",6.76389619822833,"High"
"321","TCGA-FR-A3YN-06A-11R-A239-07",5.30294776225595,"Middle"
"322","TCGA-WE-A8ZN-06A-11R-A37K-07",2.44794940991625,"Low"
"323","TCGA-WE-AAA3-06A-11R-A38C-07",4.67496338295277,"Low"
"324","TCGA-EB-A5UL-06A-11R-A311-07",5.79203540630979,"High"
"325","TCGA-GF-A3OT-06A-23R-A239-07",5.3814391253168,"Middle"
"326","TCGA-D3-A1QB-06A-11R-A18T-07",3.83413475065417,"Low"
"327","TCGA-D3-A1QA-06A-11R-A18T-07",5.84815469269627,"High"
"328","TCGA-EE-A29C-06A-21R-A18S-07",3.65398863946658,"Low"
"329","TCGA-EE-A29W-06A-11R-A18U-07",6.5982818239075,"High"
"330","TCGA-DA-A95X-06A-11R-A37K-07",5.54157059351631,"Middle"
"331","TCGA-FS-A1ZD-06A-11R-A18T-07",5.3550303639849,"Middle"
"332","TCGA-EE-A3J5-06A-11R-A20F-07",4.35301975685284,"Low"
"333","TCGA-EE-A2ME-06A-11R-A18T-07",5.96244953923852,"High"
"334","TCGA-QB-A6FS-06A-11R-A311-07",2.66086018053048,"Low"
"335","TCGA-EE-A29R-06A-11R-A18T-07",5.33632981047281,"Middle"
"336","TCGA-D3-A8GE-06A-11R-A37K-07",5.97247899066924,"High"
"337","TCGA-D3-A2JK-06A-11R-A18S-07",2.39215253392312,"Low"
"338","TCGA-ER-A199-06A-11R-A18T-07",5.25268435291688,"Middle"
"339","TCGA-D3-A2J9-06A-11R-A18T-07",5.76725752574664,"High"
"340","TCGA-EE-A2GB-06A-11R-A18T-07",5.9761023871205,"High"
