"","sample","ENSG00000115419_logTPM","group"
"78","TCGA-EE-A2MT-06A-11R-A18S-07",5.35770330372512,"Middle"
"79","TCGA-D3-A5GU-06A-11R-A27Q-07",5.587382994506,"Middle"
"80","TCGA-EB-A3XD-01A-22R-A239-07",3.28335880404636,"Low"
"81","TCGA-XV-AAZW-01A-12R-A40A-07",4.54942890688418,"Low"
"82","TCGA-EB-A4OY-01A-11R-A266-07",2.26702634539381,"Low"
"83","TCGA-D3-A8GK-06A-11R-A37K-07",5.16196827761397,"Middle"
"84","TCGA-GN-A8LN-01A-11R-A37K-07",5.42127716781255,"Middle"
"85","TCGA-DA-A1HW-06A-11R-A18U-07",5.43543524396048,"Middle"
"86","TCGA-BF-A5EO-01A-12R-A27Q-07",2.88383583610776,"Low"
"87","TCGA-EE-A29E-06A-11R-A18T-07",4.5528996029403,"Low"
"88","TCGA-ER-A3PL-06A-11R-A239-07",4.98411536131308,"Middle"
"89","TCGA-D3-A3MO-06A-11R-A21D-07",5.6191899566936,"Middle"
"90","TCGA-EE-A2A5-06A-11R-A18T-07",5.44259853441663,"Middle"
"91","TCGA-FW-A5DX-01A-11R-A27Q-07",6.49005822945523,"High"
"92","TCGA-FS-A4F5-06A-11R-A266-07",5.30466435651685,"Middle"
"93","TCGA-EE-A3AE-06A-11R-A18S-07",5.225918846435,"Middle"
"94","TCGA-EB-A553-01A-12R-A27Q-07",2.73196521366928,"Low"
"95","TCGA-EE-A29G-06A-12R-A18T-07",4.47566858928271,"Low"
"96","TCGA-ER-A19G-06A-11R-A18U-07",5.55576708296718,"Middle"
"97","TCGA-EB-A431-01A-11R-A266-07",5.03356396027334,"Middle"
"98","TCGA-EE-A2GT-06A-12R-A18S-07",4.01625561292797,"Low"
"99","TCGA-W3-AA1V-06B-11R-A40A-07",6.71412872334012,"High"
"100","TCGA-EE-A3AH-06A-11R-A18S-07",5.59720934761599,"Middle"
"101","TCGA-EB-A4XL-01A-11R-A27Q-07",5.33719014379128,"Middle"
"102","TCGA-WE-AAA0-06A-11R-A38C-07",4.96136402731475,"Middle"
"103","TCGA-DA-A3F8-06A-11R-A20F-07",5.16191186142077,"Middle"
"104","TCGA-FS-A1ZQ-06A-11R-A18U-07",3.31132872599558,"Low"
"105","TCGA-EE-A3J3-06A-11R-A20F-07",5.51992554905374,"Middle"
"106","TCGA-EE-A2MH-06A-11R-A18S-07",5.0755069602087,"Middle"
"107","TCGA-FR-A3YO-06A-11R-A239-07",3.46885697303719,"Low"
"108","TCGA-FS-A1ZF-06A-12R-A18S-07",4.82802728598148,"Middle"
"109","TCGA-D3-A3C8-06A-12R-A18S-07",5.46957018941709,"Middle"
"110","TCGA-ER-A2NC-06A-11R-A18T-07",4.47575936682389,"Low"
"111","TCGA-D3-A3MU-06A-11R-A21D-07",3.76975058520813,"Low"
"112","TCGA-ER-A2ND-06A-11R-A18T-07",3.45909057768484,"Low"
"113","TCGA-EE-A2MR-06A-11R-A18S-07",5.9584854364252,"High"
"114","TCGA-ER-A2NG-06A-11R-A18T-07",5.15812290163049,"Middle"
"115","TCGA-ER-A3ES-06A-11R-A20F-07",5.37588394290546,"Middle"
"116","TCGA-RP-A6K9-06A-41R-A352-07",4.04609811587977,"Low"
"117","TCGA-HR-A2OG-06A-21R-A18U-07",4.53771849991068,"Low"
"118","TCGA-FS-A4F4-06A-12R-A266-07",2.40163046658474,"Low"
"119","TCGA-XV-AB01-06A-12R-A40A-07",2.51113908147442,"Low"
"120","TCGA-DA-A1I0-06A-11R-A20F-07",2.64685387894268,"Low"
"121","TCGA-ER-A42K-06A-11R-A24X-07",5.86554522889016,"High"
"122","TCGA-GN-A268-06A-11R-A18T-07",6.31401489061501,"High"
"123","TCGA-D3-A8GR-06A-11R-A37K-07",4.12598165385472,"Low"
"124","TCGA-D3-A5GS-06A-11R-A27Q-07",4.64308269791847,"Middle"
"125","TCGA-EE-A2ML-06A-11R-A18S-07",5.56523767579889,"Middle"
"126","TCGA-D3-A8GB-06A-11R-A37K-07",4.00629802390037,"Low"
"127","TCGA-EE-A29M-06A-11R-A18T-07",5.79440026956265,"High"
"128","TCGA-EE-A20C-06A-11R-A18S-07",6.29636379435058,"High"
"129","TCGA-D3-A3CF-06A-11R-A18T-07",5.50629409141706,"Middle"
"130","TCGA-D9-A4Z5-01A-11R-A266-07",3.8626695892684,"Low"
"131","TCGA-GN-A8LK-06A-11R-A37K-07",3.62780525341447,"Low"
"132","TCGA-EE-A20H-06A-11R-A18S-07",5.83917606792592,"High"
"133","TCGA-DA-A95V-06A-11R-A37K-07",2.25471496797692,"Low"
"134","TCGA-D3-A2JE-06A-11R-A37K-07",6.95196072878113,"High"
"135","TCGA-EB-A5SF-01A-11R-A311-07",1.45958899496684,"Low"
"136","TCGA-DA-A1I8-06A-11R-A18T-07",6.50201228760469,"High"
"137","TCGA-FR-A7U9-06A-11R-A352-07",5.39597448117154,"Middle"
"138","TCGA-BF-AAP0-06A-11R-A39D-07",5.11265843575834,"Middle"
"139","TCGA-ER-A19C-06A-11R-A18S-07",5.03858104091308,"Middle"
"140","TCGA-DA-A1I2-06A-21R-A18U-07",5.17833220859262,"Middle"
"141","TCGA-DA-A95Y-06A-11R-A37K-07",4.17292748960384,"Low"
"142","TCGA-QB-AA9O-06A-11R-A39D-07",4.31104529813555,"Low"
"143","TCGA-ER-A3ET-06A-11R-A20F-07",4.86636402209807,"Middle"
"144","TCGA-D3-A3MR-06A-11R-A21D-07",4.14082772620816,"Low"
"145","TCGA-EE-A3AF-06A-11R-A18S-07",4.77476070876617,"Middle"
"146","TCGA-WE-A8ZX-06A-11R-A37K-07",5.9321178799396,"High"
"147","TCGA-D3-A3CB-06A-11R-A18S-07",5.26494170982417,"Middle"
"148","TCGA-EE-A3AB-06A-11R-A18S-07",5.4540475455366,"Middle"
"149","TCGA-WE-AA9Y-06A-12R-A38C-07",4.25182511354263,"Low"
"150","TCGA-EE-A2MF-06A-11R-A21D-07",5.53903470297075,"Middle"
"151","TCGA-EB-A4IS-01A-21R-A266-07",4.70985304479512,"Middle"
"152","TCGA-D3-A51F-06A-11R-A266-07",5.35153646177972,"Middle"
"153","TCGA-EB-A4OZ-01A-12R-A266-07",1.83786252942124,"Low"
"154","TCGA-D3-A2J7-06A-11R-A18T-07",5.02603868194725,"Middle"
"155","TCGA-GF-A2C7-01A-11R-A18T-07",4.93488444097183,"Middle"
"156","TCGA-FR-A8YD-06A-11R-A37K-07",3.16188768237689,"Low"
"157","TCGA-BF-AAOX-01A-11R-A39D-07",3.98741182744001,"Low"
"158","TCGA-FS-A1ZJ-06A-12R-A18S-07",5.27264284731373,"Middle"
"159","TCGA-ER-A19D-06A-11R-A18S-07",5.39990592899924,"Middle"
"160","TCGA-FS-A4F8-06A-11R-A266-07",5.49469720927427,"Middle"
"161","TCGA-EE-A2GM-06B-11R-A18S-07",5.69457936787733,"Middle"
"162","TCGA-FW-A3I3-06A-11R-A21D-07",4.87745960856382,"Middle"
"163","TCGA-FS-A4F2-06A-11R-A24X-07",4.81803758913797,"Middle"
"164","TCGA-FS-A1YX-06A-11R-A18T-07",5.02312669294675,"Middle"
"165","TCGA-EE-A29A-06A-12R-A18U-07",5.90371557985876,"High"
"166","TCGA-FR-A726-01A-11R-A32P-07",4.98427033640553,"Middle"
"167","TCGA-EB-A82C-01A-11R-A352-07",5.23487681385703,"Middle"
"168","TCGA-EB-A551-01A-21R-A27Q-07",5.15188722234657,"Middle"
"169","TCGA-EE-A183-06A-11R-A18S-07",4.20772109200771,"Low"
"170","TCGA-FR-A3R1-01A-11R-A239-07",6.27102221489695,"High"
"171","TCGA-D3-A2J6-06A-11R-A18T-07",3.26237301902733,"Low"
"172","TCGA-D3-A8GN-06A-11R-A37K-07",3.88980448723789,"Low"
"173","TCGA-D3-A8GD-06A-11R-A37K-07",5.41624525070024,"Middle"
"174","TCGA-BF-AAP4-01A-11R-A40A-07",4.76252953988563,"Middle"
"175","TCGA-BF-AAP2-01A-11R-A40A-07",4.70418032292583,"Middle"
"176","TCGA-EB-A82B-01A-11R-A352-07",4.1126000579462,"Low"
"177","TCGA-D3-A1Q9-06A-11R-A18T-07",5.5901438817445,"Middle"
"178","TCGA-EE-A2M7-06A-11R-A18U-07",5.88689151549692,"High"
"179","TCGA-EB-A6QZ-01A-12R-A32P-07",4.43327329288202,"Low"
"180","TCGA-YD-A9TB-06A-12R-A40A-07",5.89763977412683,"High"
"181","TCGA-EE-A2GS-06A-12R-A18S-07",5.83363141949878,"High"
"182","TCGA-W3-AA1Q-06A-11R-A38C-07",5.22928027905873,"Middle"
"183","TCGA-DA-A1IB-06A-11R-A18S-07",5.3452792687683,"Middle"
"184","TCGA-DA-A960-01A-11R-A37K-07",3.01267593308757,"Low"
"185","TCGA-GN-A4U3-06A-11R-A32P-07",5.37103256626181,"Middle"
"186","TCGA-D9-A1JW-06A-11R-A18S-07",4.15827238884451,"Low"
"187","TCGA-EE-A2GR-06A-11R-A18S-07",5.16912328147676,"Middle"
"188","TCGA-WE-AAA4-06A-12R-A38C-07",2.52902130952987,"Low"
