"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000066422.5",1005.36266463654,1.29057848502866,0.0840220539044394,15.3599968705415,3.03589285654985e-53,3.02253492798103e-50,"ZBTB11"
"ENSG00000171954.13",166.25662405031,-5.32028551458474,0.346514551476307,-15.3537145609555,3.34473604483091e-53,3.20194154445544e-50,"CYP4F22"
"ENSG00000115827.14",819.600646027749,1.04941421031762,0.0684372554460893,15.3339610637116,4.53469994323604e-53,4.18032154026463e-50,"DCAF17"
"ENSG00000141741.12",1778.78907429332,-1.24998952776569,0.0815526317682825,-15.3273965617359,5.01694816373391e-53,4.45970856411918e-50,"MIEN1"
"ENSG00000146066.3",3225.41147975045,-1.54304772961893,0.100762862234937,-15.3136552038507,6.19805840502521e-53,5.31964392072681e-50,"HIGD2A"
"ENSG00000067900.8",2495.85034869741,1.4327365415707,0.0937084029658694,15.289307001556,9.01038283668281e-53,7.47561429350117e-50,"ROCK1"
"ENSG00000105669.14",6344.84536210302,-1.36621152315096,0.0895109897993802,-15.2630590524474,1.34778802677653e-52,1.08214335440219e-49,"COPE"
"ENSG00000101972.19",4577.90702283802,1.30124517477996,0.0855832311280114,15.2044408423143,3.30440146751098e-52,2.54392647142907e-49,"STAG2"
"ENSG00000176101.12",3493.18351103479,-1.35005883502791,0.0888015575920335,-15.2030985901201,3.37282336509279e-52,2.54392647142907e-49,"SSNA1"
"ENSG00000149932.17",6156.76594733028,-1.09044751663902,0.0718285901735633,-15.1812462698226,4.70751701686942e-52,3.44617936911411e-49,"TMEM219"
"ENSG00000123607.15",897.027390860768,1.20124562134089,0.0794401596424049,15.1213898203154,1.17045960561538e-51,8.13580734582835e-49,"TTC21B"
"ENSG00000163191.6",29588.408047336,-1.81960338248171,0.120350239911248,-15.1192335289366,1.20942093931558e-51,8.13580734582835e-49,"S100A11"
"ENSG00000257704.4",511.96342640655,-1.52465851851102,0.100837761543741,-15.1199163405631,1.19694572966455e-51,8.13580734582835e-49,"INAFM1"
"ENSG00000084207.18",56885.3689871569,-2.47970232813689,0.16403626748294,-15.1167931713319,1.25507468313421e-51,8.22073917452905e-49,"GSTP1"
"ENSG00000134318.14",2310.07355099312,1.26006474750223,0.0834252178552902,15.1041229486262,1.52116922481844e-51,9.70818000146945e-49,"ROCK2"
"ENSG00000115524.17",13195.7260449893,0.910136367261692,0.0602828737592587,15.0977601183438,1.67528237030653e-51,1.04244445492324e-48,"SF3B1"
"ENSG00000170906.16",3241.91589161679,-1.57985474546274,0.104745278744122,-15.0828253493134,2.10083094254729e-51,1.27535810146347e-48,"NDUFA3"
"ENSG00000138434.17",7669.02614145442,1.61696008713099,0.107254288769092,15.0759480640643,2.33144988702992e-51,1.38166161162321e-48,"ITPRID2"
"ENSG00000085224.23",2894.40248819235,1.27847761078426,0.0848541946577105,15.0667579362629,2.67942581499329e-51,1.55095136128332e-48,"ATRX"
"ENSG00000099330.9",1118.14947311713,-1.48841065233961,0.0988881280369498,-15.0514594813997,3.37701014008656e-51,1.9103132360626e-48,"OCEL1"
"ENSG00000054148.18",4002.78029430225,-1.54134504538196,0.10291069306451,-14.9775013604832,1.03017783596308e-50,5.6980280749158e-48,"PHPT1"
"ENSG00000163535.18",599.425456061904,1.98717855632753,0.132844646260904,14.9586649688897,1.36741700945882e-50,7.39891507944131e-48,"SGO2"
"ENSG00000099795.7",5459.58647137514,-1.42959229095821,0.0957044787054868,-14.9375693833255,1.87697557828906e-50,9.78543970957424e-48,"NDUFB7"
