"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000036054.13",1207.72750742154,1.60704930339706,0.157073768529886,10.2311755708038,1.4376351300413e-24,1.19621157544471e-21,"TBC1D23"
"ENSG00000174405.14",538.916593957651,2.1956434693617,0.214746565545271,10.2243473081242,1.54263618460941e-24,1.24079370448751e-21,"LIG4"
"ENSG00000166200.15",2675.46515742249,1.44527332233611,0.141846023101556,10.1890295599007,2.21968839149824e-24,1.7277768028017e-21,"COPS2"
"ENSG00000153147.6",3430.33804104945,1.60752837650565,0.158166121285887,10.1635442750728,2.88397799153972e-24,2.17469965424542e-21,"SMARCA5"
"ENSG00000092439.16",1790.56088108829,1.83973922516827,0.181115727212798,10.1578104424179,3.05868195735279e-24,2.23654532214917e-21,"TRPM7"
"ENSG00000161642.18",3945.91474312879,-2.80714159018934,0.276578135239486,-10.1495426880316,3.3291978066658e-24,2.36275126690723e-21,"ZNF385A"
"ENSG00000144744.17",1457.73896778594,1.25676686297468,0.124328091230344,10.1084706644958,5.06690220346262e-24,3.49326714770152e-21,"UBA3"
"ENSG00000131375.10",1247.69183109517,1.26104080015473,0.125202890321264,10.071978345859,7.34848471450111e-24,4.92552600446978e-21,"CAPN7"
"ENSG00000132485.14",2274.45342546956,2.07926793958444,0.206662797242608,10.0611622765539,8.20241872911969e-24,5.34930713334211e-21,"ZRANB2"
"ENSG00000163535.18",382.404375849623,2.56780933563259,0.255525516718712,10.0491307819535,9.26812869856222e-24,5.88526172358701e-21,"SGO2"
"ENSG00000099797.15",11909.6135383256,-2.03380811941555,0.203076545082402,-10.0149828656495,1.30984604933733e-23,8.10425260782303e-21,"TECR"
"ENSG00000089048.14",929.407364002207,1.85100144847489,0.184955974154412,10.0077948654395,1.40857111621017e-23,8.49720525853783e-21,"ESF1"
"ENSG00000116406.19",1721.50467575376,1.94051947866872,0.194082213739267,9.99844056434581,1.54815715464808e-23,9.00902241789633e-21,"EDEM3"
"ENSG00000116750.14",1561.39673989948,1.64617335083689,0.164663873639806,9.99717372395727,1.56808512868482e-23,9.00902241789633e-21,"UCHL5"
"ENSG00000165832.6",677.17103911409,1.77662046237724,0.178246568856423,9.96720707599316,2.1210952321111e-23,1.190279719787e-20,"TRUB1"
"ENSG00000139218.18",2526.96191524635,1.49760385213956,0.150296237465542,9.96434692839805,2.18303837405412e-23,1.19719809013468e-20,"SCAF11"
"ENSG00000166004.15",261.287835238721,2.19859267166527,0.221196171680285,9.93956023272906,2.80060764287722e-23,1.48775289925238e-20,"CEP295"
"ENSG00000170802.16",1283.78309154351,2.00679231214036,0.201925040820724,9.93830336239505,2.83616383612141e-23,1.48775289925238e-20,"FOXN2"
"ENSG00000138398.17",1985.50062243148,1.69839116036918,0.171078111590698,9.92757720188399,3.15836247816546e-23,1.62151673613048e-20,"PPIG"
"ENSG00000151414.15",2149.12868903975,2.27826381420587,0.23139465425928,9.84579277122389,7.14734969759708e-23,3.59303225422953e-20,"NEK7"
"ENSG00000067900.8",1780.61381287478,1.85006085843289,0.187954441169097,9.84313457519445,7.33879635651844e-23,3.6139827771998e-20,"ROCK1"
"ENSG00000138768.15",3055.19882924953,1.76414875627423,0.179896872349701,9.80644484382647,1.05624419839411e-22,5.09743450144998e-20,"USO1"
"ENSG00000100949.14",2696.66730416358,-1.67310891262032,0.17091724736209,-9.78899987241091,1.25531383306269e-22,5.93935741015738e-20,"RABGGTA"
"ENSG00000171103.11",349.142620100101,1.35389614273766,0.138465960536785,9.77782653216049,1.40188586526183e-22,6.50528960168614e-20,"TRMT61B"
"ENSG00000166479.10",2144.83814165026,1.45039613838356,0.148455332284051,9.76991608228934,1.51577570162319e-22,6.90106937361654e-20,"TMX3"
