"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000179542",69.4920324803663,-1.00735878950702,0.186024591702892,-5.41519150928129,6.12231420413637e-08,7.99693026231334e-06
"ENSG00000080561",79.6105587283204,1.21350298390989,0.191492104271663,6.33709148753378,2.34142974026126e-10,5.18760060048011e-08
"ENSG00000068985",96.0789428887578,-2.74156548488905,0.309684934779892,-8.8527570346217,8.53834034978412e-19,8.34076026921473e-16
"ENSG00000099399",51.2497933491462,1.69678236824067,0.250721414040008,6.76760050487715,1.30935692930026e-11,4.02064461991974e-09
"ENSG00000130707",21.6153036720887,3.79268629319131,0.566026716891135,6.70054288960492,2.07646641522596e-11,5.86199865575805e-09
"ENSG00000130948",16.4782239966624,-1.35209868914532,0.461341221210459,-2.93079964889697,0.00338090752757325,0.0482327989230288
"ENSG00000198963",15.682084347094,1.37765069403431,0.436005666725987,3.15970823126964,0.00157927203081229,0.0286445578811476
"ENSG00000119125",114.050651399286,1.04055293051267,0.211054434248263,4.93025855731924,8.21208545269381e-07,7.18680658392498e-05
"ENSG00000205002",14.5575148981927,1.4562550173252,0.455807690144465,3.19488909207226,0.00139884585203113,0.0261855789537291
"ENSG00000253898",174.309101519712,1.00958861019666,0.169606894371706,5.95252105721642,2.64043149126464e-09,4.71586452975561e-07
"ENSG00000168077",99.7235099771692,1.23672974760543,0.176928300036573,6.99000525834357,2.74875941377532e-12,1.0236497025385e-09
"ENSG00000283239",15.4246762818818,7.29206432444653,1.15488422045362,6.31410854464902,2.71723180963729e-10,5.94496354551018e-08
"ENSG00000244479",23.3717079839333,2.21042832323905,0.5246862110775,4.21285765962802,2.52159980839686e-05,0.00120919346428412
"ENSG00000157680",148.989041563399,-1.39687006707106,0.161689971349157,-8.63918804249541,5.66139276057263e-18,4.54261248898462e-15
"ENSG00000128510",399.270248721367,1.45260525588466,0.205199205807681,7.07900037998241,1.4519798754917e-12,6.05095327636458e-10
"ENSG00000176125",32.34763810936,-1.18618015215143,0.307261172425376,-3.86049477969597,0.000113157658440833,0.00390650590865857
"ENSG00000237819",16.0553477313002,-1.22720817898068,0.408536145883997,-3.00391578895724,0.00266529085503666,0.0415040799250059
"ENSG00000196275",73.77618579944,-1.05067180955602,0.252149206854667,-4.1668654153713,3.08816692937737e-05,0.00142617904392855
"ENSG00000164742",55.0585769186219,1.02889138356616,0.213689326477496,4.8148936614039,1.47278296601576e-06,0.000118793180894811
"ENSG00000164520",16.4892707474917,2.11327997655046,0.497089950264042,4.25130295920876,2.12530443776802e-05,0.00106894263144407
"ENSG00000203797",55.5059925684681,1.15109966930736,0.21760097650619,5.28995635860398,1.22345548911416e-07,1.46023541527466e-05
"ENSG00000254122",41.4172482981924,1.02644015185464,0.260983906193496,3.93296340309058,8.39050161104557e-05,0.00309829007801963
"ENSG00000168685",156.483412258189,1.23495309273522,0.197274856818169,6.26006330788262,3.84821217897827e-10,8.21405582544593e-08
"ENSG00000165118",80.9436355672642,1.2791168848396,0.207747808874676,6.15706558720547,7.41051649322542e-10,1.44118077978805e-07
"ENSG00000213420",31.2879176556177,-1.28232541027513,0.279657962881933,-4.58533487500411,4.53259374221486e-06,0.000309898391679636
"ENSG00000007062",25.2012719999455,1.99494638136504,0.555182619149071,3.59331562724838,0.000326496698778647,0.00876483392442127
"ENSG00000137440",27.9692439765268,1.41005093913024,0.430259895754612,3.27720745773253,0.00104839308046208,0.0213869744607549
"ENSG00000169116",36.4146033701841,1.0181338953099,0.266759217143454,3.81667747496192,0.000135260792835931,0.0044753679716584
"ENSG00000273238",47.4856756190692,-1.19304886496145,0.267021897324657,-4.46798137873649,7.89611774421793e-06,0.000481553131975771
"ENSG00000131127",49.7644426170559,1.00315909863371,0.223554842903544,4.48730649537546,7.21292732316939e-06,0.000450885239062264
"ENSG00000172061",137.468076231605,1.09636551880994,0.155204037046219,7.06402706833872,1.61745216305518e-12,6.58378260696625e-10
"ENSG00000121552",40.6605062830819,2.24192438064148,0.293061921672367,7.65000231980964,2.00975687453228e-14,1.09927420546683e-11
"ENSG00000144681",31.4751178887425,1.17485095331415,0.29946781613072,3.92312926475318,8.7406223600076e-05,0.00318606907513654
"ENSG00000292343",818.493214899393,-1.01821916988201,0.216395959763438,-4.70535203612452,2.53428257070934e-06,0.000193701082249457
"ENSG00000253953",31.2259602275026,-1.09101510296814,0.321358599594261,-3.39500826909759,0.000686265278186294,0.0154392045810986
"ENSG00000128165",77.1003047442481,2.02126374186205,0.224723934971115,8.99443017550336,2.37460801236838e-19,2.59767275253024e-16
"ENSG00000106034",38.6607973418862,-1.00390732316083,0.280102999755121,-3.58406487627229,0.000338288000940567,0.00901209759538318
"ENSG00000102409",32.906076126463,1.15733644057785,0.365127410365481,3.16967833069391,0.00152607779504877,0.0279111177081908
"ENSG00000142185",23.6980329819826,1.77693848074492,0.371590103768971,4.78198548002692,1.73572219281264e-06,0.000136234733366815
"ENSG00000101333",51.8416392306327,1.23250372662016,0.255465933196912,4.8245326145704,1.40331953767422e-06,0.000114243264501916
"ENSG00000287405",74.9424518009329,-1.19439171682981,0.186254335776504,-6.4126921494221,1.42972047846218e-10,3.34418140846613e-08
"ENSG00000163359",70.7717809124888,1.02364849335171,0.232513752205361,4.40252881234998,1.0699637513491e-05,0.000614018870159453
"ENSG00000066248",34.0618943899682,1.28929097914753,0.316309842205542,4.07603813450021,4.58095094662285e-05,0.00192741308698894
"ENSG00000169432",23.0374610577123,1.04381986539669,0.355392107140844,2.93709354941588,0.00331304146103632,0.0477661982640187
"ENSG00000251165",21.2659493389391,1.13633390536324,0.348909525846669,3.25681536669371,0.0011266969382324,0.0223299965644953
"ENSG00000310238",99.1166201798976,-1.01438759311515,0.335875216089754,-3.02013231260291,0.00252664281533729,0.0396982308768838
"ENSG00000175414",31.1246584445792,1.09930358779482,0.314630007190222,3.49395659241806,0.000475918392757421,0.0117821776922675
"ENSG00000139278",211.403332510898,1.1824356731198,0.185309191959365,6.3808797643405,1.76073512034382e-10,4.00235672875037e-08
"ENSG00000183251",43.3352161954604,2.17472748190373,0.279276455775311,7.78700616156983,6.86156072993188e-15,4.00326324853325e-12
"ENSG00000158639",236.443888554526,-2.10313007135564,0.15789561636145,-13.3197495903954,1.77702523214437e-40,7.77581815955575e-37
"ENSG00000180730",422.199503966934,-1.02737832571681,0.106248457733541,-9.66958342391529,4.0602741829242e-22,6.46063445670203e-19
"ENSG00000100867",895.979955670032,-1.13426490902838,0.101555816183443,-11.1688818194275,5.79052241439389e-29,1.4478787688448e-25
"ENSG00000169224",34.9853550312889,1.20033848967671,0.308864376847437,3.88629631532294,0.000101785253696946,0.00359908544536899
"ENSG00000064886",52.3149240661898,1.1355115180294,0.307496877860865,3.6927578775066,0.000221835207196603,0.00652003040305493
"ENSG00000134042",27.3649478030397,1.03950208516874,0.300085064552359,3.46402473151866,0.000532157582589597,0.0128296889367296
"ENSG00000291214",44.8856025953678,1.14796953510892,0.271219143643036,4.23262723895263,2.30977159055954e-05,0.00113881499012855
"ENSG00000023445",225.816140951337,1.09106435922679,0.158730899534654,6.8736733832255,6.2569377598801e-12,2.07737400902212e-09
"ENSG00000124466",36.5264740784131,1.03855355021243,0.356008829051655,2.91721290446351,0.00353174611173854,0.0492061910750063
"ENSG00000129757",92.9183980366356,-1.02087842945384,0.229667870348283,-4.44502066355961,8.78834199179106e-06,0.000521431694516335
"ENSG00000137393",36.4740342201016,1.20035617548032,0.307735668697929,3.90060788389981,9.59514551887684e-05,0.00343722434532989
"ENSG00000140678",52.2634612972033,1.01451528666419,0.258107313150448,3.9305948920279,8.47359418819264e-05,0.00310929390096301
"ENSG00000120669",23.0152485666159,2.62222214623328,0.430378279451743,6.09283105451726,1.10931118709584e-09,2.08777136642349e-07
"ENSG00000108375",25.4555234197952,1.71829268716729,0.495097186244728,3.47061695139172,0.000519264162349185,0.0126231675466636
"ENSG00000137962",713.608712990138,1.1139395328723,0.127526880780673,8.73493906581237,2.43787511995684e-18,2.24579622234761e-15
"ENSG00000162687",19.4679731954825,1.17650026158277,0.381069230917029,3.087366195249,0.00201938660714414,0.0339858882546576
"ENSG00000250993",24.6910702726905,-1.08529579573643,0.370237110261337,-2.93135335615158,0.00337488660717147,0.048220930845161
"ENSG00000169594",23.6916833998834,2.03331041062596,0.357994508109473,5.67972514819748,1.34911356042222e-08,2.03564953862674e-06
"ENSG00000130600",103.159839199972,-2.02493022671759,0.409809026298794,-4.94115575004736,7.76608385343213e-07,6.9351921268685e-05
"ENSG00000197646",23.070131452065,1.09475414276563,0.359104798391497,3.04856450726711,0.00229937540903624,0.0374033157847224
"ENSG00000249967",19.6118288170519,7.6371018621236,1.09110318687424,6.99943135901028,2.57003454372641e-12,9.77898143887899e-10
