gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLITRK4,69.4920324803663,-1.00735878950702,0.186024591702892,-5.41519150928129,6.12231420413637e-8,7.99693026231334e-6
MID2,79.6105587283204,1.21350298390989,0.191492104271663,6.33709148753378,2.34142974026126e-10,5.18760060048011e-8
PAGE1,96.0789428887578,-2.74156548488905,0.309684934779892,-8.8527570346217,8.5383403497841195e-19,8.340760269214729e-16
MAGEB2,51.2497933491462,1.69678236824067,0.250721414040008,6.76760050487715,1.3093569293002599e-11,4.02064461991974e-9
ASS1,21.6153036720887,3.79268629319131,0.566026716891135,6.70054288960492,2.07646641522596e-11,5.861998655758051e-9
HSD17B3,16.4782239966624,-1.35209868914532,0.461341221210459,-2.93079964889697,0.00338090752757325,0.0482327989230288
RORB,15.682084347094,1.37765069403431,0.436005666725987,3.15970823126964,0.00157927203081229,0.0286445578811476
GDA,114.050651399286,1.04055293051267,0.211054434248263,4.93025855731924,8.21208545269381e-7,7.18680658392498e-5
AARD,14.5575148981927,1.4562550173252,0.455807690144465,3.19488909207226,0.00139884585203113,0.0261855789537291
LINC01419,174.309101519712,1.00958861019666,0.169606894371706,5.95252105721642,2.6404314912646404e-9,4.71586452975561e-7
SCARA3,99.7235099771692,1.23672974760543,0.176928300036573,6.99000525834357,2.74875941377532e-12,1.0236497025385e-9
KBTBD11-OT1,15.4246762818818,7.29206432444653,1.15488422045362,6.31410854464902,2.71723180963729e-10,5.94496354551018e-8
OR2A1-AS1,23.3717079839333,2.21042832323905,0.5246862110775,4.21285765962802,2.52159980839686e-5,0.00120919346428412
DGKI,148.989041563399,-1.39687006707106,0.161689971349157,-8.63918804249541,5.6613927605726296e-18,4.54261248898462e-15
CPA4,399.270248721367,1.45260525588466,0.205199205807681,7.07900037998241,1.4519798754916999e-12,6.05095327636458e-10
UFSP1,32.34763810936,-1.18618015215143,0.307261172425376,-3.86049477969597,1.1315765844083e-4,0.00390650590865857
CDK6-AS1,16.0553477313002,-1.22720817898068,0.408536145883997,-3.00391578895724,0.00266529085503666,0.0415040799250059
GTF2IRD2,73.77618579944,-1.05067180955602,0.252149206854667,-4.1668654153713,3.08816692937737e-5,0.00142617904392855
ADCY1,55.0585769186219,1.02889138356616,0.213689326477496,4.8148936614039,1.47278296601576e-6,1.1879318089481e-4
RAET1E,16.4892707474917,2.11327997655046,0.497089950264042,4.25130295920876,2.12530443776802e-5,0.00106894263144407
DDO,55.5059925684681,1.15109966930736,0.21760097650619,5.28995635860398,1.22345548911416e-7,1.46023541527466e-5
PCDHGB7,41.4172482981924,1.02644015185464,0.260983906193496,3.93296340309058,8.39050161104557e-5,0.00309829007801963
IL7R,156.483412258189,1.23495309273522,0.197274856818169,6.2600633078826204,3.84821217897827e-10,8.21405582544593e-8
QNG1,80.9436355672642,1.2791168848396,0.207747808874676,6.15706558720547,7.41051649322542e-10,1.44118077978805e-7
GPC2,31.2879176556177,-1.28232541027513,0.279657962881933,-4.58533487500411,4.53259374221486e-6,3.0989839167963e-4
PROM1,25.2012719999455,1.99494638136504,0.555182619149071,3.59331562724838,3.2649669877864e-4,0.00876483392442127
FGFBP1,27.9692439765268,1.41005093913024,0.430259895754612,3.27720745773253,0.00104839308046208,0.0213869744607549
PARM1,36.4146033701841,1.0181338953099,0.266759217143454,3.81667747496192,1.3526079283593e-4,0.0044753679716584
TMEM271,47.4856756190692,-1.19304886496145,0.267021897324657,-4.46798137873649,7.89611774421793e-6,4.8155313197577e-4
ZNF141,49.7644426170559,1.00315909863371,0.223554842903544,4.48730649537546,7.21292732316939e-6,4.5088523906226e-4
LRRC15,137.468076231605,1.09636551880994,0.155204037046219,7.06402706833872,1.61745216305518e-12,6.58378260696625e-10
CSTA,40.6605062830819,2.24192438064148,0.293061921672367,7.65000231980964,2.00975687453228e-14,1.0992742054668299e-11
STAC,31.4751178887425,1.17485095331415,0.29946781613072,3.92312926475318,8.7406223600076e-5,0.00318606907513654
